ID,2019,FD,Var1
20103,Higest 360 FD3,3,Higest_360
20105,Vernal FD2,2,Vernal
20106,Archer FD5,5,Archer
20117,Legend FD4,4,Legend
20203,Vernal FD2,2,Vernal
20212,144:22277_ 5246 FD3,3,22277_5246
20213,Higest 360,3,Higest_360
20314,Vernal FD2,2,Vernal
20320,Higest 360,3,Higest_360
20405,Higest 360,3,Higest_360
20411,Vernal FD2,2,Vernal
20419,ABI 700 FD6,6,ABI700
20502,Higest 360,3,Higest_360
20504,Vernal FD2,2,Vernal
20615,Vernal FD2,2,Vernal
20616,Higest 360,3,Higest_360
20618,Maverick FD1,1,Maverick
20714,Higest 360,3,Higest_360
20720,Vernal FD2,2,Vernal
20811,Vernal FD2,2,Vernal
20816,Higest 360,3,Higest_360
20913,Vernal FD2,2,Vernal
20919,Higest 360,3,Higest_360
21004,Vernal FD2,2,Vernal
21013,Higest 360,3,Higest_360
21104,Vernal FD2,2,Vernal
21109,Higest 360,3,Higest_360
30103,E: 201,2,Vernal
30120,E: 202,3,Higest_360
30210,E: 201,2,Vernal
30217,E: 202,3,Higest_360
30309,E: 202,3,Higest_360
30311,E: 144,3,22277_5246
30317,E: 104,5,Archer
30320,E: 201,2,Vernal
30406,E: 201,2,Vernal
30410,E: 44,4,Legend
30413,E: 202,3,Higest_360
30414,E: 112,1,Maverick
30505,E: 201,2,Vernal
30508,E: 202,3,Higest_360
30601,E: 201,2,Vernal
30612,E: 202,3,Higest_360
30704,E: 201,2,Vernal
30719,E: 202,3,Higest_360
30807,E: 201,2,Vernal
30818,E: 202,3,Higest_360
30819,E: 61,6,ABI700
30907,E: 202,3,Higest_360
30916,E: 201,2,Vernal
31010,E: 202,3,Higest_360
31017,E: 201,2,Vernal
31103,E: 201,2,Vernal
31118,E: 202,3,Higest_360
10115,202: Hi Gest360,3,Higest_360
10205,202: Hi Gest360,3,Higest_360
10206,104: Archer,5,Archer
10214,201: Vernal,2,Vernal
10302,201: Vernal,2,Vernal
10312,202: Hi Gest360,3,Higest_360
10407,202: Hi Gest360,3,Higest_360
10413,201: Vernal,2,Vernal
10419,61: ABI700,6,ABI700
10508,201: Vernal,2,Vernal
10514,202: Hi Gest360,3,Higest_360
10604,202: Hi Gest360,3,Higest_360
10613,201: Vernal,2,Vernal
10702,202: Hi Gest360,3,Higest_360
10715,201: Vernal,2,Vernal
10802,112: 22404_Maverick,1,Maverick
10805,44:Legend_FD4,4,Legend
10816,201: Vernal,2,Vernal
10817,202: Hi Gest360,3,Higest_360
10907,201: Vernal,2,Vernal
10910,202: Hi Gest360,3,Higest_360
11016,202: Hi Gest360,3,Higest_360
11019,201: Vernal,2,Vernal
11102,202: Hi Gest360,3,Higest_360
11117,201: Vernal,2,Vernal
11120,144:22277_5246 FD3,3,22277_5246
10104,201: Vernal FD2,2,Vernal
10404,502484,NA,502484
