trait,cv,max,mean,median,min,sd.amo,se,ci
ADF,11.2794,34.7328,29.2695,29.1544,16.6075,3.3014,0.266,0.5256
aNDF,11.521,40.894,33.8862,34.6074,18.1198,3.904,0.3146,0.6215
Ash,6.5663,10.9222,9.6317,9.7056,7.9841,0.6324,0.051,0.1007
Ca,13.8761,2.0813,1.3441,1.305,0.9231,0.1865,0.015,0.0297
Cprot,7.475,26.1031,22.6062,21.9466,19.5915,1.6898,0.1362,0.269
DM,1.5339,98.8303,94.5594,94.1171,92.7742,1.4504,0.1169,0.2309
dNDF30,11.7438,16.4411,13.5747,13.9229,9.5424,1.5942,0.1506,0.2985
dNDF48,11.7264,20.0897,16.1939,16.5175,7.9545,1.8989,0.1794,0.3556
Fat,7.9858,2.6231,2.0504,2.0149,1.6818,0.1637,0.0132,0.0261
IVTDMD30,3.6945,87.0943,79.0626,78.8517,72.8598,2.921,0.276,0.5469
IVTDMD48,2.892,90.214,83.0271,82.8875,76.807,2.4011,0.2269,0.4496
K,10.5194,3.1055,2.5805,2.6076,1.8587,0.2715,0.0219,0.0432
Lignin,11.5495,6.7248,5.3381,5.3115,3.2218,0.6165,0.0497,0.0981
Mg,11.2151,0.4659,0.3481,0.3519,0.2513,0.039,0.0031,0.0062
P,8.1499,0.4063,0.3248,0.3257,0.2349,0.0265,0.0021,0.0042
Starch,16.3004,5.6562,3.2346,3.1331,2.3767,0.5273,0.0498,0.0987
Su_ESC,16.3311,9.006,6.6437,6.7082,3.7556,1.085,0.1025,0.2032
Su_WSC,12.4719,9.1403,7.4466,7.7001,4.8447,0.9287,0.0878,0.1739
