,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
FD1,28.7720412141501,1.42873377636687,5.99040705380377,20.1381402820297,25.2746980850021,32.2693843432982,9.89719566087232e-07
FD2,29.6055259350124,1.42873377636687,5.9904070538047,20.721513290108,26.1081828058645,33.1028690641603,8.35870066892408e-07
FD3,29.0198421160813,1.42631531301189,5.9509116720595,20.3460215643351,25.5227838188641,32.5169004132985,9.96442758954266e-07
FD4,29.3698921660132,1.42873377636687,5.99040705371401,20.5565883944439,25.8725490368524,32.8672352951739,8.76346255433493e-07
FD5,29.3033588058758,1.42873377636687,5.99040705370045,20.510020334503,25.8060156767131,32.8007019350384,8.88185426492761e-07
FD6,29.4540656387937,1.42873377636687,5.99040705284465,20.615503130116,25.9567225095097,32.9514087680777,8.61630555450129e-07
locID,28.1080157976932,2.03942578480521,4.27115555597742,13.7823185364785,22.5846533864233,33.631378208963,0.000105798572626564
locOR,29.5874585902203,2.03942578480555,4.27115553792104,14.5077397817844,24.0640961704525,35.1108210099881,8.53107975594821e-05
locWA,30.0668885500498,2.02098423550423,4.12134559435648,14.8773493735581,24.5202956854749,35.6134814146247,9.76138686514535e-05
FD1:locID,27.6655017924305,2.05732354674783,4.42238990243594,13.4473266668062,22.1623154386076,33.1686881462534,9.3662386851701e-05
FD2:locID,28.5588624247835,2.05732354674783,4.42238990277456,13.8815610553472,23.0556760711075,34.0620487784594,8.16055549176712e-05
FD3:locID,27.8175382128905,2.05234028503824,4.37983373545423,13.554057490214,22.3090256967058,33.3260507290753,9.64239173683491e-05
FD4:locID,27.8663851745524,2.05732354674783,4.42238990278323,13.5449697343925,22.3631988208802,33.3695715282246,9.07711933363161e-05
FD5:locID,28.3304629329653,2.05732354674783,4.42238990263318,13.7705432758738,22.8272765792279,33.8336492867026,8.44981022534723e-05
FD6:locID,28.4093442485368,2.05732354674783,4.42238990133363,13.808884992079,22.9061578942354,33.9125306028382,8.34851656054231e-05
FD1:locOR,29.0313423203559,2.05732354674817,4.42238988429373,14.1112186103364,23.5281559586578,34.534528682054,7.59963618285372e-05
FD2:locOR,29.9669408036384,2.05732354674817,4.42238988455707,14.5659834842237,24.4637544420546,35.4701271652222,6.62151605706089e-05
FD3:locOR,29.3688391411315,2.05234028503857,4.3798337170873,14.3099267481267,23.8603266167935,34.8773516654695,7.63633821994943e-05
FD4:locOR,30.0122639319208,2.05732354674816,4.42238988452421,14.5880136254498,24.5090775703228,35.5154502935189,6.57816581160118e-05
FD5:locOR,29.5759540173814,2.05732354674817,4.42238988439217,14.3759371558886,24.0727676557261,35.0791403790368,7.01036088262848e-05
FD6:locOR,29.5694113268936,2.05732354674816,4.42238988328453,14.3727569606791,24.0662249647575,35.0725976890297,7.01710172355173e-05
FD1:locWA,29.619279529664,2.03754427516121,4.25742751742081,14.536753822108,24.0945316744626,35.1440273848654,8.6444874862818e-05
FD2:locWA,30.2907745766153,2.03754427516121,4.2574275187373,14.8663147819052,24.766026722038,35.8155224311926,7.86978376043196e-05
FD3:locWA,29.8731489942219,2.03325161489814,4.22177265746242,14.6923030948722,24.3429883004943,35.4033096879494,8.74890891234822e-05
FD4:locWA,30.2310273915663,2.03754427516121,4.25742751832088,14.8369916472978,24.7062795367916,35.755775246341,7.93515291837283e-05
FD5:locWA,30.0036594672806,2.03754427516121,4.25742751828152,14.7254024528654,24.4789116124873,35.528407322074,8.1901093428231e-05
FD6:locWA,30.3834413409507,2.03754427516121,4.25742751437222,14.9117944141591,24.8586934843041,35.9081891975974,7.76970361045485e-05
