trait,loc,Component.Var,std.error,z.ratio
ADF,ID,19.7615420668684,4.04157087384708,4.88956959650142
ADF,OR,11.0889033864959,2.03583097584056,5.44686838843163
ADF,WA,9.7679498208396,1.78778183031926,5.46372586139063
ADF,cor,0.453983294656758,0.128456933976318,3.5341283697496
aNDF,ID,41.1973516373538,8.40372520031016,4.90227258214408
aNDF,OR,18.6101008815414,3.44103436132936,5.40828684847886
aNDF,WA,20.0860104483622,3.85307526178231,5.21298160136926
aNDF,cor,0.574260383456751,0.0895339450630027,6.41388451109419
Ash,ID,0.781875671584807,0.176013573129913,4.44213282919787
Ash,OR,0.641396024017515,0.126125009824049,5.0853991996694
Ash,WA,0.67655318859039,0.121626131543298,5.56256439307651
Ash,cor,-0.0583837819893692,0.320297856782579,-0.182279652370576
Ca,ID,0.0282734874502986,0.00956809997845882,2.95497408199666
Ca,OR,0.00821535230616197,0.0040017193859355,2.05295562078535
Ca,WA,0.0100165286023116,0.00449624330565542,2.22775502155603
Ca,cor,-0.693911663004012,0.144021991547672,-4.81809517801539
Cprot,ID,4.28555971211191,1.02189259569998,4.19374768947842
Cprot,OR,3.11328150413561,0.577559807709079,5.39040539625602
Cprot,WA,6.63570098180877,1.14867933274287,5.77680889057499
Cprot,cor,0.0587249369033424,0.346986562748105,0.169242683169763
DM,ID,0.215467789335947,0.0482540285781418,4.46528084151609
DM,OR,0.527215993841244,0.104150386258852,5.06206470066195
DM,WA,0.364889511662086,0.0715628107313869,5.09887059958712
DM,cor,0.571674024672316,0.100834158115346,5.66944808542329
Fat,ID,0.0393253662998658,0.0135608092776359,2.89992768829219
Fat,OR,0.0189933350612988,0.00700978324726566,2.70954669942294
Fat,WA,0.0119590984031094,0.0049571320170459,2.4125035125121
Fat,cor,0.725278805531791,0.0925508750938582,7.83654184572828
K,ID,0.0548061443673502,0.0155713507289018,3.51967824253198
K,OR,0.049888631409481,0.0137714612059155,3.62260987875794
K,WA,0.0925088542045272,0.0205375618150523,4.5043737439527
K,cor,0.640904912363666,0.0925282207795955,6.92658852578952
Lignin,ID,0.639236282848472,0.135634672810003,4.71292678785692
Lignin,OR,0.400081715072021,0.0780130249992949,5.12839638093302
Lignin,WA,0.480732352854036,0.0873315026398439,5.5046843157684
Lignin,cor,-0.164293923505777,0.393394169707422,-0.417631821101892
Mg,ID,3.33433325371092e-08,NA,NA
Mg,OR,3.33433325371092e-08,NA,NA
Mg,WA,3.33433325371092e-08,NA,NA
Mg,cor,-0.1,NA,NA
P,ID,2.84122059491255e-07,NA,NA
P,OR,2.84122059491255e-07,NA,NA
P,WA,2.84122059491255e-07,NA,NA
P,cor,0.966666666666667,NA,NA
RFV,ID,2796.721417749,570.97370336252,4.89816151125495
RFV,OR,1021.38287596973,186.492181465952,5.47681338671136
RFV,WA,875.861042086533,160.150159615897,5.46899887072977
RFV,cor,0.444855329856953,0.135892032692726,3.27359390423456
Starch,ID,0.520564546753178,0.136553262995256,3.81217215418179
Starch,OR,0.952281655448003,0.21131818363444,4.50638766181788
Starch,WA,2.8138033795672,0.556609637708045,5.05525450682747
Starch,cor,-0.191526343614174,0.252557944385832,-0.758346145396162
Su_ESC,ID,1.05527058902977,0.250230513927434,4.21719386843364
Su_ESC,OR,0.59551699414618,0.133948203625405,4.44587518180969
Su_ESC,WA,1.25083086427703,0.25072216311495,4.98891222354184
Su_ESC,cor,0.00728991332617356,0.420702128330568,0.017327968734319
Su_WSC,ID,4.85415005741916,2.82856499113159,1.71611756231106
Su_WSC,OR,4.11569388724251,2.36700000707576,1.73878068227263
Su_WSC,WA,4.15987590351648,2.20489899229279,1.88665146025161
Su_WSC,cor,0.952118643206718,0.0285617819451205,33.3354076099366
