SOV,DF,ADF,aNDF,Ash,Ca,Cprot,DM,dNDF30,dNDF48,Fat,IVTDMD30,IVTDMD48,K,Lignin,Mg,P,Starch,Su_ESC,Su_WSC
FD,5,2.2 ns,4.56 ns,0.07 ns,0.01 ns,0.26 ns,0.01 ns,0.36 ns,0.7 ns,0.01 ns,2.15 ns,1.17 ns,0.02 ns,0.11 ns,0 ns,0 ns,0.04 ns,0.11 ns,0.1 ***
year,1,27.56,17.77 ns,2.29 ***,0.61 ***,7.2 ns,34.32 ***,0.14 ns,6.88 ns,0 ns,24.07 *,17.66 ns,2.33 ***,0.14 ns,0.02 ***,0.01 ***,0.6 *,23.52 ***,4.52 ***
cut,4,143.98 ***,109.57 ***,3.25 ***,0.46 ***,5.48 ns,20.46 ***,28.49 ***,40.95 ***,0.11 ***,136.48 ***,33.64 ***,0.38 ***,4.78 ***,0.02 ***,0 ns,1.32 ***,10.68 ***,10.97 ***
loc,2,32.4 *,65.95 ***,0.18 ns,0.21 ***,11.57 *,72.57 ***,3.43 ns,19.22 ***,0.19 ***,16.09 *,14.38,0.9 ***,1.57 ***,0.03 ***,0.01 ***,3 ***,11 ***,10.46 ***
cut:loc,6,10.96 ns,33.29 *,4.29 ***,0.14 ***,11.71 ***,7.97 ***,5.11 *,4.54 ns,0.16 ***,5.26 ns,8.18 ns,0.31 ***,0.64 *,0 ***,0 ***,1.62 ***,4.42 ***,3.91 ***
Residuals,135,6.83,11.27,0.14,0.01,2.32,0.09,1.74,2.19,0.02,4.68,4.73,0.03,0.23,0,0,0.1,0.17,0.03
,,,,,,,,,,,,,,,,,,,
Signif. Codes:,,,,,,,,,,,,,,,,,,,
> 0.05,ns,,,,,,,,,,,,,,,,,,
< 0.05,*,,,,,,,,,,,,,,,,,,
< 0.01,**,,,,,,,,,,,,,,,,,,
< 0.001,***,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SOV,DF,DF,DF,,,,,,,,,,,,,,,,
FD,5,5,5,,,,,,,,,,,,,,,,
year,1,1,1,,,,,,,,,,,,,,,,
cut,4,3,4,,,,,,,,,,,,,,,,
loc,2,2,2,,,,,,,,,,,,,,,,
cut:loc,6,4,6,,,,,,,,,,,,,,,,
Residuals,135,96,93,,,,,,,,,,,,,,,,
,,IVTDMD30,Starch,,,,,,,,,,,,,,,,
,,IVTDMD48,Su_ESC,,,,,,,,,,,,,,,,
,,dNDF30,Su_WSC,,,,,,,,,,,,,,,,
,,dNDF48,,,,,,,,,,,,,,,,,
